name,field,year_birth,year_prize,year_research_mid,year_death,TheoryOrTheoryAndEmpirical,age_highdegree,female
"Bardeen, John",Physics,1908,1956,1947,1991,1,28,0
"Brattain, Walter H.",Physics,1902,1956,1947,1987,0,27,0
"Shockley, William",Physics,1910,1956,1945,1989,0,26,0
"Lee, Tsung-Dao",Physics,1926,1957,1956,,1,24,0
"Yang, Chen Ning",Physics,1922,1957,1956,,1,26,0
"Cherenkov, Pavel Alekseyevich",Physics,1904,1958,1934,,0,24,0
"Frank, Il'ja Mikhailovich",Physics,1908,1958,1937,1990,1,27,0
"Tamm, Igor Yevgenyevich",Physics,1895,1958,1937,1971,1,38,0
"Chamberlain, Owen",Physics,1920,1959,1955,,0,29,0
"Segre, Emilio",Physics,1905,1959,1955,1989,0,23,0
"Glaser, Donald Arthur",Physics,1926,1960,1952,,0,24,0
"Hofstadter, Robert",Physics,1915,1961,1956,1990,0,23,0
"Mossbauer, Rudolf Ludwig",Physics,1929,1961,1958,,0,29,0
"Landau, Lev Davidovic",Physics,1908,1962,1937,1968,1,26,0
"Jensen, J. Hans D.",Physics,1907,1963,1949,1973,1,25,0
"Mayer, Maria Goeppert",Physics,1906,1963,1949,1972,1,24,1
"Wigner, Eugene Paul",Physics,1902,1963,1933,1995,1,23,0
"Basov, Nikolay Gennadiyevich",Physics,1922,1964,1954,2001,0,34,0
"Prokhorov, Aleksandr Mikhailovich",Physics,1916,1964,1954,2002,0,30,0
"Townes, Charles Hard",Physics,1915,1964,1954,,0,24,0
"Feynman, Richard P.",Physics,1918,1965,1948,1988,1,24,0
"Schwinger, Julian",Physics,1918,1965,1948,1994,1,21,0
"Tomonaga, Sin-Itiro",Physics,1906,1965,1948,1979,1,33,0
"Kastler, Alfred",Physics,1902,1966,1950,1984,0,34,0
"Bethe, Hans Albrecht",Physics,1906,1967,1938,,1,22,0
"Alvarez, Luis W.",Physics,1911,1968,1955,1988,0,25,0
"Gell-Mann, Murray",Physics,1929,1969,1962,,1,22,0
"Alfven, Hannes Olof Gosta",Physics,1908,1970,1950,1995,1,26,0
"Neel, Louis",Physics,1904,1970,1930,2000,1,28,0
"Gabor, Dennis",Physics,1900,1971,1947,1979,0,27,0
"Cooper, Leon",Physics,1930,1972,1957,,1,24,0
"Schrieffer, John Robert",Physics,1931,1972,1957,,1,26,0
"Esaki, Leo",Physics,1925,1973,1958,,0,34,0
"Giaever, Ivar",Physics,1929,1973,1958,,0,23,0
"Josephson, Brian D.",Physics,1940,1973,1962,,1,24,0
"Hewish, Antony",Physics,1924,1974,1967,,0,28,0
"Ryle, Martin",Physics,1918,1974,1962,1984,0,21,0
"Bohr, Aage N.",Physics,1922,1975,1952,,1,24,0
"Mottelson, Ben R.",Physics,1926,1975,1952,,1,24,0
"Rainwater, James",Physics,1917,1975,1950,1986,1,29,0
"Richter, Burton",Physics,1931,1976,1974,,0,25,0
"Ting, Samuel C.C.",Physics,1936,1976,1974,,0,26,0
"Mott, Nevill Francis",Physics,1905,1977,1968,1996,1,25,0
"van Vleck, John H.",Physics,1899,1977,1932,1980,1,23,0
"Kapitsa, Pjotr Leonidovich",Physics,1894,1978,1938,1984,0,29,0
"Penzias, Arno",Physics,1933,1978,1965,,0,29,0
"Wilson, Robert Woodrow",Physics,1936,1978,1965,,0,26,0
"Glashow, Sheldon",Physics,1932,1979,1964,,1,27,0
"Salam, Abdus",Physics,1926,1979,1968,1996,1,26,0
"Weinberg, Steven",Physics,1933,1979,1967,,1,24,0
"Cronin, James",Physics,1931,1980,1964,,0,24,0
"Fitch, Val",Physics,1923,1980,1964,,0,31,0
"Bloembergen, Nicolaas",Physics,1920,1981,1958,,0,28,0
"Schawlow, Arthur L.",Physics,1921,1981,1958,1999,0,28,0
"Siegbahn, Kai M.",Physics,1918,1981,1957,,0,26,0
"Wilson, Kenneth G.",Physics,1936,1982,1971,,1,25,0
"Chandrasekhar, Subramanyan",Physics,1910,1983,1935,1995,1,23,0
"Fowler, William A.",Physics,1911,1983,1957,1995,1,25,0
"Meer, Simon van der",Physics,1925,1984,1982,,0,27,0
"Rubbia, Carlo",Physics,1934,1984,1982,,0,23,0
"Klitzing, Klaus von",Physics,1943,1985,1980,,0,29,0
"Binnig, Gerd",Physics,1947,1986,1981,,0,31,0
"Rohrer, Heinrich",Physics,1933,1986,1981,,0,27,0
"Ruska, Ernst",Physics,1906,1986,1933,1988,0,28,0
"Bednorz, J. Georg",Physics,1950,1987,1986,,0,32,0
"Muller, K. Alex",Physics,1927,1987,1986,,0,31,0
"Lederman, Leon M.",Physics,1922,1988,1963,,0,29,0
"Schwartz, Melvin",Physics,1932,1988,1962,,0,26,0
"Steinberger, Jack",Physics,1921,1988,1962,,0,27,0
"Dehmelt, Hans G.",Physics,1922,1989,1973,,0,28,0
"Paul, Wolfgang",Physics,1913,1989,1958,1993,0,26,0
"Ramsey, Norman F.",Physics,1915,1989,1949,,0,25,0
"Friedman, Jerome I.",Physics,1930,1990,1968,,0,26,0
"Kendall, Henry W.",Physics,1926,1990,1968,,0,29,0
"Taylor, Richard E.",Physics,1929,1990,1968,,0,33,0
"Gennes, Pierre-Gilles de",Physics,1932,1991,1976,,0,23,0
"Charpak, Georges",Physics,1924,1992,1968,,0,30,0
"Hulse, Russell A.",Physics,1950,1993,1974,,0,25,0
"Taylor, Joseph H. Jr.",Physics,1941,1993,1974,,0,27,0
"Brockhouse, Bertram N.",Physics,1918,1994,1955,,0,32,0
"Shull, Clifford G.",Physics,1915,1994,1951,,0,26,0
"Perl, Martin L.",Physics,1927,1995,1974,,0,28,0
"Reines, Frederick",Physics,1918,1995,1953,,0,26,0
"Lee, David M.",Physics,1931,1996,1972,,0,28,0
"Osheroff, Douglas D.",Physics,1945,1996,1972,,0,28,0
"Richardson, Robert C.",Physics,1937,1996,1972,,0,29,0
"Chu, Steven",Physics,1948,1997,1985,,0,28,0
"Cohen-Tannoudji, Claude",Physics,1933,1997,1995,,0,29,0
"Phillips, William D.",Physics,1948,1997,1988,,0,28,0
"Laughlin, Robert B.",Physics,1950,1998,1983,,1,29,0
"Stormer, Horst L.",Physics,1949,1998,1982,,0,28,0
"Tsui, Daniel C.",Physics,1939,1998,1982,,0,28,0
"Hooft, Gerardus 't",Physics,1946,1999,1970,,1,26,0
"Veltman, Martinus J.G.",Physics,1931,1999,1970,,1,32,0
"Alferov, Zhores I.",Physics,1930,2000,1966,,0,22,0
"Kilby, Jack S.",Physics,1923,2000,1958,,0,35,0
"Kroemer, Herbert",Physics,1928,2000,1960,,1,24,0
"Cornell, Eric A.",Physics,1961,2001,1995,,0,29,0
"Ketterle, Wolfgang",Physics,1957,2001,1995,,0,29,0
"Wieman, Carl E.",Physics,1951,2001,1995,,0,26,0
"Davis, Raymond Jr.",Physics,1914,2002,1994,,0,28,0
"Giacconi, Riccardo",Physics,1931,2002,1969,,0,23,0
"Koshiba, Masatoshi",Physics,1926,2002,1987,,0,29,0
"Abrikosov, Alexei A.",Physics,1928,2003,1957,,1,23,0
"Ginzburg, Vitaly L.",Physics,1916,2003,1950,,1,26,0
"Leggett, Anthony J.",Physics,1938,2003,1972,,1,26,0
"Gross, David J.",Physics,1941,2004,1973,,0,25,0
"Politzer, H. David",Physics,1949,2004,1973,,0,25,0
"Wilczek, Frank",Physics,1951,2004,1973,,0,23,0
"Glauber, Roy J.",Physics,1925,2005,1963,,0,24,0
"Hall, John L.",Physics,1934,2005,2000,,0,27,0
"Hansch, Theodor W.",Physics,1941,2005,1999,,0,28,0
"Mather, John C.",Physics,1946,2006,1990,,0,28,0
"Smoot, George F.",Physics,1945,2006,1992,,0,25,0
"Fert, Albert",Physics,1938,2007,1988,,0,32,0
"Grunberg, Peter",Physics,1939,2007,1988,,0,30,0
"Kobayashi, Makoto",Physics,1944,2008,1972,,0,28,0
"Maskawa, Toshihide",Physics,1940,2008,1972,,0,27,0
"Nambu, Yoichiro",Physics,1921,2008,1960,,0,31,0
